±¤Á¾,Ç°¸ñ,´ë·ú,±¹°¡,´ÜÀ§,2011 »ý»ê·®,2012 »ý»ê·®,2013 »ý»ê·®,2014 »ý»ê·®,2015 »ý»ê·®,2016 »ý»ê·®,2017 »ý»ê·®,2018 »ý»ê·®,2019 »ý»ê·®,2020 »ý»ê·®,2021 »ý»ê·®,2022 »ý»ê·®
¾Ë·ç¹Ì´½,bauxite,EUROPE,Bosnia & Herzegovina,ÃµÅæ,561.354,800.316,657.1,605.215,787.404,738.612,740.38,760.244,1043.343,619.748,675.269,633.529
¾Ë·ç¹Ì´½,bauxite,EUROPE,Croatia,ÃµÅæ,0,0,0,0,11.9,9.8,12.2,11.8,14.3,14.1,14.5,13.8
¾Ë·ç¹Ì´½,bauxite,EUROPE,France,ÃµÅæ,80.8,90.129,100,71.1,70,110,110,110,120.76,123.496,142.764,120
¾Ë·ç¹Ì´½,bauxite,EUROPE,Greece,ÃµÅæ,2324,1815.328,1844,1876,1831.27,1880,1927.145,1559.36,1379.123,1428.639,1227,1500
¾Ë·ç¹Ì´½,bauxite,EUROPE,Hungary,ÃµÅæ,277.8,255.1,93.7,14.4,8.3,16.7,4,5,0,0,0,0
¾Ë·ç¹Ì´½,bauxite,EUROPE,Montenegro,ÃµÅæ,158.6,0,61.154,82.162,50.369,516.239,927.846,468.2,774.725,897.057,542.049,170.768
¾Ë·ç¹Ì´½,bauxite,EUROPE,Russia,ÃµÅæ,5887.5,5166,5322,5589,5398,5431,5523,5651,6641,6647,6530.85,5538.9
¾Ë·ç¹Ì´½,bauxite,AFRICA,Ghana,ÃµÅæ,400.069,752.771,826.994,798.114,1014.605,1143.676,1476.966,1011.302,1116.334,1162.1,839.465,518.84
¾Ë·ç¹Ì´½,bauxite,AFRICA,Guinea,ÃµÅæ,17695.39,19614,20498,20287.8,20904.708,32423.932,51701.564,59573.707,70173.327,87766.199,90621.577,92416.175
¾Ë·ç¹Ì´½,bauxite,AFRICA,Ivory Coast,ÃµÅæ,0,0,0,0,0,0,0,0,0,272.295,300,120
¾Ë·ç¹Ì´½,bauxite,AFRICA,Mozambique,ÃµÅæ,10.352,8.633,5.697,3.324,4.985,1.451,3.182,9.912,8.024,6.491,7.852,7.8
¾Ë·ç¹Ì´½,bauxite,AFRICA,Sierra Leone,ÃµÅæ,1321,776,616,1161,1334.046,1368.502,1787.716,1938.455,1883.863,1342.139,1396.678,1074.89
¾Ë·ç¹Ì´½,bauxite,AFRICA,Tanzania,ÃµÅæ,29.52,28.434,39.977,25.641,0.205,0.073,0.013,0,0,0.026,38.142,9.87
