광종,기간,수급안정화지수,실질가격(유럽 로테르담 기준),가격단위
코발트,2018-01-01,4.529362115,38.26106075,달러/파운드
코발트,2018-02-01,4.151129594,39.48326031,달러/파운드
코발트,2018-03-01,3.402339844,42.76662692,달러/파운드
코발트,2018-04-01,3.278509852,45.24209891,달러/파운드
코발트,2018-05-01,3.417726422,44.75529061,달러/파운드
코발트,2018-06-01,3.504059394,42.08302378,달러/파운드
코발트,2018-07-01,3.973244602,39.15181636,달러/파운드
코발트,2018-08-01,5.506597597,34.87411791,달러/파운드
코발트,2018-09-01,5.456639151,34.63589257,달러/파운드
코발트,2018-10-01,5.642485934,34.97769414,달러/파운드
코발트,2018-11-01,6.941236196,33.83835557,달러/파운드
코발트,2018-12-01,11.97335733,29.96460443,달러/파운드
코발트,2019-01-01,38.52124829,21.28437202,달러/파운드
코발트,2019-02-01,59.51752378,16.43257487,달러/파운드
코발트,2019-03-01,69.51523353,13.95854339,달러/파운드
코발트,2019-04-01,61.11532216,16.03788502,달러/파운드
코발트,2019-05-01,60.75275434,16.18228375,달러/파운드
코발트,2019-06-01,67.96434761,14.34360665,달러/파운드
코발트,2019-07-01,73.91665187,12.69746119,달러/파운드
코발트,2019-08-01,64.58344072,15.17149268,달러/파운드
코발트,2019-09-01,56.06659409,17.17382166,달러/파운드
코발트,2019-10-01,53.7199324,17.6744039,달러/파운드
코발트,2019-11-01,56.3323494,17.03904952,달러/파운드
코발트,2019-12-01,60.55006831,15.93199263,달러/파운드
코발트,2020-01-01,55.83687769,16.45182803,달러/파운드
코발트,2020-02-01,51.42126931,17.44336594,달러/파운드
코발트,2020-03-01,54.73431637,16.75025207,달러/파운드
코발트,2020-04-01,58.01739246,15.97049895,달러/파운드
코발트,2020-05-01,61.33438189,15.15223951,달러/파운드
코발트,2020-06-01,63.11054857,14.67091043,달러/파운드
코발트,2020-07-01,66.03007441,13.82377125,달러/파운드
코발트,2020-08-01,61.92779033,14.71904334,달러/파운드
코발트,2020-09-01,59.82837453,15.209999,달러/파운드
코발트,2020-10-01,59.8846622,15.17149268,달러/파운드
코발트,2020-11-01,59.07563109,15.23887875,달러/파운드
코발트,2020-12-01,57.57362421,15.28701166,달러/파운드
코발트,2021-01-01,44.76538711,18.09282339,달러/파운드
코발트,2021-02-01,25.36476523,22.83069841,달러/파운드
코발트,2021-03-01,18.06434942,25.29560568,달러/파운드
코발트,2021-04-01,26.88832219,22.52763605,달러/파운드
코발트,2021-05-01,35.27208713,20.40619947,달러/파운드
코발트,2021-06-01,40.63973148,20.99212005,달러/파운드
코발트,2021-07-01,26.51970328,24.80060381,달러/파운드
코발트,2021-08-01,27.72511812,24.56825599,달러/파운드
코발트,2021-09-01,12.08461116,25.0935641,달러/파운드
코발트,2021-10-01,21.03378373,26.78061128,달러/파운드
코발트,2021-11-01,15.2665941,29.43745804,달러/파운드
코발트,2021-12-01,8.122922434,33.58941249,달러/파운드
코발트,2022-01-01,7.818013274,33.99594704,달러/파운드
코발트,2022-02-01,7.034587761,34.78146321,달러/파운드
코발트,2022-03-01,3.359499082,38.14227927,달러/파운드
코발트,2022-04-01,3.503294168,39.49456029,달러/파운드
코발트,2022-05-01,3.781825527,39.07694409,달러/파운드
코발트,2022-06-01,25.71166432,34.70191727,달러/파운드
코발트,2022-07-01,39.40002508,28.75585809,달러/파운드
코발트,2022-08-01,49.97703777,25.05697178,달러/파운드
코발트,2022-09-01,36.53321012,26.17061497,달러/파운드
코발트,2022-10-01,37.41230701,25.96180688,달러/파운드
코발트,2022-11-01,43.70819102,24.17202318,달러/파운드
코발트,2022-12-01,47.95891324,22.81974216,달러/파운드
코발트,2023-01-01,58.44326443,19.94991256,달러/파운드
코발트,2023-02-01,65.70939565,17.45617349,달러/파운드
코발트,2023-03-01,65.01683564,17.63220213,달러/파운드
