광종,기간,시장위험지수
코발트,2023-01-08,0.825371843
코발트,2023-02-08,0.395298957
코발트,2023-03-08,0.359196315
코발트,2023-04-08,0.243826589
코발트,2023-05-08,0.187336804
코발트,2023-06-08,0.270030466
코발트,2023-07-08,1.158316807
코발트,2023-08-08,15.6460709
코발트,2023-09-08,3.448687436
코발트,2023-10-08,8.947795506
코발트,2023-11-08,42.31122946
코발트,2023-12-08,61.83953004
코발트,2023-01-09,55.79287616
코발트,2023-02-09,64.32355167
코발트,2023-03-09,69.51446526
코발트,2023-04-09,60.89745023
코발트,2023-05-09,61.21321384
코발트,2023-06-09,65.08127127
코발트,2023-07-09,50.93052035
코발트,2023-08-09,44.82749458
코발트,2023-09-09,49.61087728
코발트,2023-10-09,53.95024042
코발트,2023-11-09,36.2300453
코발트,2023-12-09,40.99191765
코발트,2023-01-10,41.14741573
코발트,2023-02-10,45.78051195
코발트,2023-03-10,49.66440392
코발트,2023-04-10,39.27333381
코발트,2023-05-10,49.96451816
코발트,2023-06-10,50.56713779
코발트,2023-07-10,53.45104344
코발트,2023-08-10,53.3269074
코발트,2023-09-10,45.66960255
코발트,2023-10-10,49.56909864
코발트,2023-11-10,57.25399743
코발트,2023-12-10,60.36154881
코발트,2023-01-11,52.98615722
코발트,2023-02-11,49.08919951
코발트,2023-03-11,51.03415666
코발트,2023-04-11,57.88166341
코발트,2023-05-11,55.53915883
코발트,2023-06-11,56.63865834
코발트,2023-07-11,60.91281509
코발트,2023-08-11,60.3016823
코발트,2023-09-11,59.99414778
코발트,2023-10-11,63.36584291
코발트,2023-11-11,68.43098382
코발트,2023-12-11,68.28768965
코발트,2023-01-12,66.34084755
코발트,2023-02-12,65.54297442
코발트,2023-03-12,68.70734713
코발트,2023-04-12,67.43949904
코발트,2023-05-12,67.93919707
코발트,2023-06-12,70.58461956
코발트,2023-07-12,73.66943004
코발트,2023-08-12,73.92679997
코발트,2023-09-12,70.76038418
코발트,2023-10-12,72.90929338
코발트,2023-11-12,76.44477943
코발트,2023-12-12,79.12591005
코발트,2023-01-13,75.06312278
코발트,2023-02-13,72.59586669
코발트,2023-03-13,76.23481302
코발트,2023-04-13,75.10039807
코발트,2023-05-13,72.16919146
코발트,2023-06-13,69.60854725
코발트,2023-07-13,68.42743289
코발트,2023-08-13,72.36551288
코발트,2023-09-13,69.20148478
코발트,2023-10-13,70.03476423
코발트,2023-11-13,73.94816775
코발트,2023-12-13,75.00907754
코발트,2023-01-14,68.44058706
코발트,2023-02-14,62.34093184
코발트,2023-03-14,60.94639637
코발트,2023-04-14,62.65592018
코발트,2023-05-14,65.12552995
코발트,2023-06-14,65.07328381
코발트,2023-07-14,62.29322131
코발트,2023-08-14,60.30352329
코발트,2023-09-14,61.49884035
코발트,2023-10-14,63.55055502
